activity_code,item,answers,student_id
829530,item_1,0,329868
829530,item_2,0,329868
829530,item_3,0,329868
829530,item_4,0,329868
829530,item_5,0,329868
829530,item_6,1,329868
829530,item_7,0,329868
829530,item_8,1,329868
829530,item_9,1,329868
829530,item_10,1,329868
829530,item_11,0,329868
829530,item_12,0,329868
829530,item_13,0,329868
829530,item_14,0,329868
829530,item_15,0,329868
829530,item_16,0,329868
829530,item_17,0,329868
829530,item_18,0,329868
829530,item_19,0,329868
829530,item_20,0,329868
829530,item_21,0,329868
829530,item_22,0,329868
829530,item_23,0,329868
829530,item_24,0,329868
829530,item_25,0,329868
829530,item_26,0,329868
829530,item_27,0,329868
829530,item_28,0,329868
829530,item_29,0,329868
829530,item_30,0,329868
829530,item_31,0,329868
829530,item_32,0,329868
829530,item_33,0,329868
829530,item_34,0,329868
829530,item_35,0,329868
829530,item_36,0,329868
829530,item_37,0,329868
829530,item_38,0,329868
829530,item_39,0,329868
829530,item_40,0,329868
829530,item_41,0,329868
829530,item_42,0,329868
829530,item_43,0,329868
829530,item_44,0,329868
829530,item_45,0,329868
829530,item_46,0,329868
829530,item_47,0,329868
829530,item_48,0,329868
829530,item_49,0,329868
829530,item_50,0,329868
829530,item_51,0,329868
829530,item_52,0,329868
829530,item_53,0,329868
829530,item_54,0,329868
829530,item_55,0,329868
829530,item_56,0,329868
829530,item_57,0,329868
829530,item_58,0,329868
829530,item_59,0,329868
829530,item_60,0,329868
829530,item_61,0,329868
829530,item_62,0,329868
829530,item_63,0,329868
829530,item_64,0,329868
829530,item_65,0,329868
829530,item_66,0,329868
829530,item_67,0,329868
829530,item_68,0,329868
829530,item_69,0,329868
829530,item_70,0,329868
829530,item_71,0,329868
829530,item_72,0,329868
829530,item_73,0,329868
829530,item_74,0,329868
829530,item_75,0,329868
829530,item_76,0,329868
829530,item_77,0,329868
829530,item_78,0,329868
829530,item_79,0,329868
829530,item_80,0,329868
829530,item_81,0,329868
829530,item_82,0,329868
829530,item_83,0,329868
829530,item_84,0,329868
829530,item_85,0,329868
829530,item_86,0,329868
829530,item_87,0,329868
829530,item_88,0,329868
829530,item_89,0,329868
829530,item_90,0,329868
829530,item_91,0,329868
829530,item_92,0,329868
829530,item_93,0,329868
829530,item_94,0,329868
829530,item_95,0,329868
829530,item_1,0,337128
829530,item_2,0,337128
829530,item_3,1,337128
829530,item_4,1,337128
829530,item_5,1,337128
829530,item_6,0,337128
829530,item_7,0,337128
829530,item_8,0,337128
829530,item_9,0,337128
829530,item_10,0,337128
829530,item_11,1,337128
829530,item_12,1,337128
829530,item_13,1,337128
829530,item_14,1,337128
829530,item_15,1,337128
829530,item_16,1,337128
829530,item_17,0,337128
829530,item_18,0,337128
829530,item_19,1,337128
829530,item_20,1,337128
829530,item_21,1,337128
829530,item_22,1,337128
829530,item_23,1,337128
829530,item_24,1,337128
829530,item_25,1,337128
829530,item_26,0,337128
829530,item_27,1,337128
829530,item_28,1,337128
829530,item_29,1,337128
829530,item_30,0,337128
829530,item_31,0,337128
829530,item_32,0,337128
829530,item_33,0,337128
829530,item_34,1,337128
829530,item_35,0,337128
829530,item_36,0,337128
829530,item_37,0,337128
829530,item_38,1,337128
829530,item_39,1,337128
829530,item_40,0,337128
829530,item_41,0,337128
829530,item_42,0,337128
829530,item_43,0,337128
829530,item_44,0,337128
829530,item_45,0,337128
829530,item_46,1,337128
829530,item_47,0,337128
829530,item_48,0,337128
829530,item_49,0,337128
829530,item_50,0,337128
829530,item_51,0,337128
829530,item_52,0,337128
829530,item_53,1,337128
829530,item_54,0,337128
829530,item_55,0,337128
829530,item_56,0,337128
